Industry,Stage,Country,Funds_Raised,Cash_Reserves,Profit_Margin,Revenue_Growth,Laid_Off
Marketing,Post-IPO,United States,145.0,40387000.0,0.016902393534348772,-0.0610212160461171,0
Marketing,Post-IPO,United States,145.0,45285000.0,-0.019554090063838354,0.01342477463475289,0
Marketing,Post-IPO,United States,145.0,45739000.0,0.00792158203681541,0.00916358338285761,0
Marketing,Post-IPO,United States,145.0,26705000.0,-0.030667490960864758,0.014019490511198551,0
Marketing,Post-IPO,United States,145.0,27804000.0,-0.005528311936378497,0.020007868262799988,0
Marketing,Post-IPO,United States,145.0,31348000.0,-0.03114340797864452,-0.009238341873748834,0
Marketing,Post-IPO,United States,145.0,31894000.0,-0.10961046346317885,-0.08723861782589348,1
Marketing,Post-IPO,United States,145.0,12478000.0,-0.23875425473370973,-0.003554165481944871,1
Consumer,Post-IPO,United States,313.0,128029000.0,-0.16139028835473954,0.045112804036393284,0
Consumer,Post-IPO,United States,313.0,246002000.0,2.002132233631885,0.04758252075675484,0
Consumer,Post-IPO,United States,313.0,252021000.0,-0.03803626951352455,0.09081909403501776,0
Consumer,Post-IPO,United States,313.0,291575000.0,-0.03682204602630218,0.06943512139063568,0
Consumer,Post-IPO,United States,313.0,369175000.0,-0.060093216450530076,0.039659146258793854,0
Consumer,Post-IPO,United States,313.0,308788000.0,0.07713659953339999,0.014417155690791938,0
Consumer,Post-IPO,United States,313.0,334645000.0,-0.01569300110398438,0.04368899680997962,0
Consumer,Post-IPO,United States,313.0,365105000.0,0.07764390321485219,0.0612802569272739,0
Consumer,Post-IPO,United States,313.0,402559000.0,-0.4576042511629447,0.03863926512751514,0
Consumer,Post-IPO,United States,313.0,388955000.0,-0.006631048619457662,0.005462943036403045,0
Consumer,Post-IPO,United States,313.0,381019000.0,0.02599957649142395,0.069097090735466,0
Consumer,Post-IPO,United States,313.0,439184000.0,0.06050960037748176,0.06073497988334253,1
Consumer,Post-IPO,United States,313.0,355642000.0,-0.0951114067176588,-0.006798301332075041,1
Healthcare,Post-IPO,United States,585.0,1505673000.0,1.6460346823718917,0.045112804036393284,0
Healthcare,Post-IPO,United States,585.0,1065386000.0,0.03766281736807065,-0.05173621598040201,0
Healthcare,Post-IPO,United States,585.0,1087491000.0,0.03574059214451783,0.07500934492620281,0
Healthcare,Post-IPO,United States,585.0,1123397000.0,0.02579465928366551,0.032226405777421085,0
Healthcare,Post-IPO,United States,585.0,1079476000.0,-0.08928370463519775,-0.18527466000123582,0
Healthcare,Post-IPO,United States,585.0,1013875000.0,-0.1287165692181143,0.10047413772012659,0
Healthcare,Post-IPO,United States,585.0,1056238000.0,0.23259055874645476,0.15461861674929422,0
Healthcare,Post-IPO,United States,585.0,1109747000.0,0.05182484760152717,0.027801578484246914,1
Healthcare,Post-IPO,United States,585.0,1273768000.0,-0.013163310536980749,-0.053304808185868024,1
Marketing,Post-IPO,United States,212.0,287639000.0,-0.3332537598472189,0.045112804036393284,0
Marketing,Post-IPO,United States,212.0,293239000.0,-0.10102561044691571,0.45580416241671906,0
Marketing,Post-IPO,United States,212.0,613548000.0,-0.46768739432650763,-0.20649354521332097,0
Marketing,Post-IPO,United States,212.0,250603000.0,-0.8037992965524272,0.10563591959421381,0
Marketing,Post-IPO,United States,212.0,237372000.0,-0.6852302105133571,0.10417480842098104,0
Marketing,Post-IPO,United States,212.0,233467000.0,-0.13142844451354263,0.3857103286962944,0
Marketing,Post-IPO,United States,212.0,208293000.0,0.4863679189730303,-0.24565514331086413,0
Marketing,Post-IPO,United States,212.0,157038000.0,-1.674822624494397,0.11007242963137442,1
Marketing,Post-IPO,United States,212.0,138514000.0,0.08619646246527109,-0.03579338240169749,1
Healthcare,Acquired,United States,80.0,892477000.0,0.26059986570934035,0.045112804036393284,0
Healthcare,Acquired,United States,80.0,1058088000.0,0.10143545814591136,0.019253685869451642,0
Healthcare,Acquired,United States,80.0,1474223000.0,0.12412071671405657,-0.005194888980484258,0
Healthcare,Acquired,United States,80.0,884892000.0,0.02245195657471572,0.04970319460317141,0
Healthcare,Acquired,United States,80.0,782174000.0,0.11975332021776923,0.0077027365617416965,0
Healthcare,Acquired,United States,80.0,842469000.0,0.12038848321472959,-0.010668430546548424,0
Healthcare,Acquired,United States,80.0,880712000.0,0.14416621613777023,-0.0155021465728854,0
Data,Post-IPO,United States,455.0,1043873000.0,-0.9980982136792773,0.045112804036393284,0
Data,Post-IPO,United States,455.0,1030942000.0,-0.9326898703324559,0.16110846974122128,0
Data,Post-IPO,United States,455.0,2016017000.0,-0.9542308718564472,0.1692307692307693,0
Data,Post-IPO,United States,455.0,1990637000.0,-0.8957340711437383,0.05178940697751977,0
Data,Post-IPO,United States,455.0,1957526000.0,-0.8437955052472258,0.10518554927500623,0
Data,Post-IPO,United States,455.0,1939719000.0,-0.7648287770542799,0.08841019461002686,1
Data,Post-IPO,United States,455.0,1926825000.0,-0.627773232305266,0.11160467139430041,1
Retail,Post-IPO,United States,451.0,153842000.0,-0.019305718886095845,0.045112804036393284,0
Retail,Post-IPO,United States,451.0,505828000.0,-0.018432659932659932,0.04832224319781808,0
Retail,Post-IPO,United States,451.0,563345000.0,0.010302435815354977,0.14647138047138042,0
Retail,Post-IPO,United States,451.0,637525000.0,0.01813385113559619,0.045112804036393284,0
Retail,Post-IPO,United States,451.0,724997000.0,-0.007742794087894587,0.009300395564210584,0
Retail,Post-IPO,United States,451.0,726919000.0,-0.014574436489929982,0.026507677829975984,0
Retail,Post-IPO,United States,451.0,603079000.0,-0.026368420369390744,0.1143094919402341,0
Retail,Post-IPO,United States,451.0,604761000.0,0.0076068832574855035,-0.014890273229718698,0
Retail,Post-IPO,United States,451.0,606800000.0,0.00919164907110663,0.0011052877145458773,0
Retail,Post-IPO,United States,451.0,675011000.0,0.0009126732440222074,0.04159216062782112,0
Retail,Post-IPO,United States,451.0,678585000.0,0.0024824567192415145,0.0771755863264092,0
Retail,Post-IPO,United States,451.0,803172000.0,0.008191313889041183,0.02313403286477933,0
Retail,Post-IPO,United States,451.0,905426000.0,0.007254868592346539,-0.0019124652095809935,1
Retail,Post-IPO,United States,451.0,957181000.0,-0.012881868256930851,-0.014155377047085027,1
Real Estate,Post-IPO,United States,1600.0,273243000.0,-0.06475381320084447,0.045112804036393284,1
Real Estate,Post-IPO,United States,1600.0,243684000.0,-0.06475381320084447,0.045112804036393284,1
Real Estate,Post-IPO,United States,1600.0,207177000.0,-0.06475381320084447,0.045112804036393284,1
Manufacturing,Post-IPO,United States,426.0,475604000.0,0.024274587925531412,0.045112804036393284,0
Manufacturing,Post-IPO,United States,426.0,543575000.0,0.0004416459900690992,0.029366915968694673,0
Manufacturing,Post-IPO,United States,426.0,368177000.0,-0.4230551202999075,0.14699757401404057,0
Manufacturing,Post-IPO,United States,426.0,409227000.0,0.07646572787984607,0.058230075244263046,0
Manufacturing,Post-IPO,United States,426.0,456534000.0,0.05376409973600494,-0.010321938351370408,0
Manufacturing,Post-IPO,United States,426.0,392552000.0,0.07871118081075247,-0.018298380796274438,0
Manufacturing,Post-IPO,United States,426.0,402020000.0,0.0909660619550302,-0.037198282476001765,0
Crypto,Post-IPO,United States,549.0,1061850000.0,0.30213873583177236,0.045112804036393284,0
Crypto,Post-IPO,United States,549.0,1983318000.0,0.42832594530490053,2.0782345944024394,0
Crypto,Post-IPO,United States,549.0,4365982000.0,0.7209947925503217,0.2369924802011203,0
Crypto,Post-IPO,United States,549.0,6352775000.0,0.30954914521445104,-0.41116230887241345,0
Crypto,Post-IPO,United States,549.0,7123478000.0,0.33628995106191284,0.904449854715422,1
Crypto,Post-IPO,United States,549.0,6116388000.0,-0.3683519713040407,-0.5331385735950462,1
Crypto,Post-IPO,United States,549.0,5682068000.0,-1.3529879689481334,-0.30701298656763,1
Crypto,Post-IPO,United States,549.0,100119708000.0,-0.9225800768710859,-0.2696761822286827,1
Crypto,Post-IPO,United States,549.0,79838209000.0,-0.885382160137846,0.06567243566831937,1
Sales,Post-IPO,United States,65.0,9283000000.0,0.5096097845078625,0.045112804036393284,1
Sales,Post-IPO,United States,65.0,13503000000.0,0.003778167588719471,0.011602511602511578,1
Sales,Post-IPO,United States,65.0,13533000000.0,0.008808290155440414,0.0416947780326542,1
Sales,Post-IPO,United States,65.0,11918000000.0,0.026795967844838585,0.015155440414507781,1
Sales,Post-IPO,United States,65.0,13977000000.0,0.024129986661816417,-0.01634064885496178,1
Sales,Post-IPO,United States,65.0,12397000000.0,0.14727420667209112,0.04316721231963139,1
Sales,Post-IPO,United States,65.0,11863000000.0,0.14036697247706423,0.013599907009182788,1
Infrastructure,Post-IPO,United States,2.0,29419000000.0,0.21688333059075202,0.045112804036393284,0
Infrastructure,Post-IPO,United States,2.0,30012000000.0,0.1822449492832593,-0.01851242389336849,0
Infrastructure,Post-IPO,United States,2.0,30588000000.0,0.21279264214046822,0.002598709028418078,0
Infrastructure,Post-IPO,United States,2.0,23579000000.0,0.22361946418808093,0.07048494983277598,0
Infrastructure,Post-IPO,United States,2.0,24518000000.0,0.22923967697699224,0.025228462079200265,0
Infrastructure,Post-IPO,United States,2.0,23346000000.0,0.2310077519379845,-0.01721773579155872,0
Infrastructure,Post-IPO,United States,2.0,21113000000.0,0.2337264150943396,-0.013953488372092981,0
Infrastructure,Post-IPO,United States,2.0,20108000000.0,0.23716400467471757,0.009040880503144555,0
Infrastructure,Post-IPO,United States,2.0,19267000000.0,0.2148526942451534,0.020802493182703552,1
Infrastructure,Post-IPO,United States,2.0,19784000000.0,0.19586267605633803,0.040451839413830015,1
Infrastructure,Post-IPO,United States,2.0,23288000000.0,0.220437856015373,0.07202766333137145,1
Infrastructure,Post-IPO,United States,2.0,26146000000.0,0.26034335328553576,0.04337382472033502,1
Infrastructure,Post-IPO,United States,2.0,23523000000.0,0.24802290700845378,-0.03519042294284025,1
Infrastructure,Post-IPO,United States,2.0,25671000000.0,0.20592604174810414,-0.12796563948731932,1
Infrastructure,Acquired,United States,20.0,924781000.0,0.1280381141076945,0.045112804036393284,0
Infrastructure,Acquired,United States,20.0,877008000.0,0.13844274605511475,0.05538016345790364,0
Infrastructure,Acquired,United States,20.0,498176000.0,0.11607623948458684,-0.041857282599029766,0
Infrastructure,Acquired,United States,20.0,521012000.0,0.07728746439833964,0.046850467795701345,0
Infrastructure,Acquired,United States,20.0,449665000.0,0.06652621572493882,-0.04145492426527897,0
Infrastructure,Acquired,United States,20.0,527179000.0,0.12093581932378052,0.0930097823224505,0
